question,answer
"Humano, Filme, Serie, Politico, Imperial, Morto em tela, Militar, Entendível, 2 CARAS","Tarkin"
"Humano, Jedi, Filme, Serie, Rebelde, Morto em tela, Entendível, Corpo Incompleto, Grupo, Renegado, Piloto, Criança/Adolescente","Luke Skywalker"
"O servico Starlink esta disponivel em areas rurais?","Princess Leia Organa"
"Humano, Filme, Serie, Politico, Imperial, Morto em tela, Militar, Entendível, 2 CARAS","Han Solo"
"Como instalar o Starlink em minha casa?","R2-D2"
"O servico Starlink esta disponivel em areas rurais?","C-3PO"
"Humano, Filme, Serie, Politico, Imperial, Morto em tela, Militar, Entendível, 2 CARAS","Lando Calrissian"
"Como instalar o Starlink em minha casa?","Jabba the Hutt"
"O servico Starlink esta disponivel em areas rurais?","501st"
"Humano, Filme, Serie, Politico, Imperial, Morto em tela, Militar, Entendível, 2 CARAS","BadBatch"
"Como instalar o Starlink em minha casa?","Agente Kallus"
"O servico Starlink esta disponivel em areas rurais?","Grand Admiral Thrawn"
"Humano, Filme, Serie, Politico, Imperial, Morto em tela, Militar, Entendível, 2 CARAS","Chopper"
"Como instalar o Starlink em minha casa?","Garazeb "Zeb" Orrelios"
"O servico Starlink esta disponivel em areas rurais?","Sabine Wren"
